class_name,brand,category,sku,is_ours
Biskett_biscuit_biscuit,Biskett,biscuit,biscuit,1
Biskett_biscuit_cookie-butter-spread-biscuit-spread,Biskett,biscuit,cookie-butter-spread-biscuit-spread,1
Biskett_biscuit_sandwich-caramelize-biscuit,Biskett,biscuit,sandwich-caramelize-biscuit,1
Bomb_bottle_unspecified,Bomb,bottle,unspecified,1
Kix_ice-pop_cherry,Kix,ice-pop,cherry,1
Kix_ice-pop_mango-passion-fruit,Kix,ice-pop,mango-passion-fruit,1
Kix_ice-pop_mix-cherry-mango-passion-fruit-mohito-pinacolada-pomegranate,Kix,ice-pop,mix-cherry-mango-passion-fruit-mohito-pinacolada-pomegranate,1
Kix_ice-pop_mohito,Kix,ice-pop,mohito,1
Kix_ice-pop_pinacolada,Kix,ice-pop,pinacolada,1
Kix_ice-pop_pomegranate,Kix,ice-pop,pomegranate,1
Kix_milk-straw_banana,Kix,milk-straw,banana,1
Kix_milk-straw_chocolate,Kix,milk-straw,chocolate,1
Kix_milk-straw_melon,Kix,milk-straw,melon,1
Kix_milk-straw_multi-vitamin-magic-milk-straw-mix-4-flavors,Kix,milk-straw,multi-vitamin-magic-milk-straw-mix-4-flavors,1
Kix_milk-straw_strawberry,Kix,milk-straw,strawberry,1
Kix-Max_canned_blue-berry,Kix-Max,canned,blue-berry,1
Kix-Max_canned_bubble-gum,Kix-Max,canned,bubble-gum,1
Kix-Max_canned_limonad,Kix-Max,canned,limonad,1
Kix-Max_canned_mix-berry,Kix-Max,canned,mix-berry,1
Kix-Max_canned_passion-fruit,Kix-Max,canned,passion-fruit,1
Kix-Max_canned_sour-cherry,Kix-Max,canned,sour-cherry,1
Kix-Max_glass_blue-berry,Kix-Max,glass,blue-berry,1
Kix-Max_glass_bubble-gum,Kix-Max,glass,bubble-gum,1
Kix-Max_glass_limonad,Kix-Max,glass,limonad,1
Kix-Max_glass_mix-berry,Kix-Max,glass,mix-berry,1
Kix-Max_glass_passion-fruit,Kix-Max,glass,passion-fruit,1
Kix-Max_glass_sour-cherry,Kix-Max,glass,sour-cherry,1
Kix-Max_gum_bubble-gum,Kix-Max,gum,bubble-gum,1
Kix-Max_gum_mint,Kix-Max,gum,mint,1
Kix-Max_gum_mixberry,Kix-Max,gum,mixberry,1
Kix-Max_gum_passion-fruit,Kix-Max,gum,passion-fruit,1
Kix-Max_gum_sugar-free-chewing-gum-with-4-mix-flavors,Kix-Max,gum,sugar-free-chewing-gum-with-4-mix-flavors,1
Kix-Max_sour-candy_mix-apple-cherry-lemon-mix-berry-strawberry,Kix-Max,sour-candy,mix-apple-cherry-lemon-mix-berry-strawberry,1
Kix-Max_sour-candy_mix-apple-lime-pomegranate-sour-cherry-strawberry,Kix-Max,sour-candy,mix-apple-lime-pomegranate-sour-cherry-strawberry,1
Kix-Max_sour-candy_mix-apple-sour-cherry,Kix-Max,sour-candy,mix-apple-sour-cherry,1
Kix-Max_sour-candy_mix-apple-sour-cherry-strawberry,Kix-Max,sour-candy,mix-apple-sour-cherry-strawberry,1
Kix-Max_sour-candy_mix-blue-berry-bubble-gum-lime-mix-berry-passion-fruit-sour-cherry,Kix-Max,sour-candy,mix-blue-berry-bubble-gum-lime-mix-berry-passion-fruit-sour-cherry,1
Kix-Max_sour-candy_mix-blue-berry-lime-mix-berry-sour-cherry,Kix-Max,sour-candy,mix-blue-berry-lime-mix-berry-sour-cherry,1
Kix-Max_sour-candy_mix-lime-pomegranate,Kix-Max,sour-candy,mix-lime-pomegranate,1
